timestamp,actual,lstm_forecast,arima_forecast
2025-04-13 10:00:00,69.11,49.939865,48.61693873929748
2025-04-13 11:00:00,35.03,49.932487,48.61693873929748
2025-04-13 12:00:00,69.46,49.92901,48.61693873929748
2025-04-13 13:00:00,48.67,49.927223,48.61693873929748
2025-04-13 14:00:00,38.75,49.926395,48.61693873929748
2025-04-13 15:00:00,67.73,49.926052,48.61693873929748
2025-04-13 16:00:00,48.74,49.92595,48.61693873929748
2025-04-13 17:00:00,43.89,49.92594,48.61693873929748
2025-04-13 18:00:00,38.55,49.92597,48.61693873929748
2025-04-13 19:00:00,40.72,49.926,48.61693873929748
2025-04-13 20:00:00,69.17,49.92602,48.61693873929748
2025-04-13 21:00:00,42.16,49.926037,48.61693873929748
2025-04-13 22:00:00,69.11,49.926044,48.61693873929748
2025-04-13 23:00:00,43.21,49.92605,48.61693873929748
2025-04-14 00:00:00,39.26,49.92605,48.61693873929748
