timestamp,actual,lstm_forecast,arima_forecast
2025-04-13 10:00:00,27.79,23.17228,23.694097366485288
2025-04-13 11:00:00,19.34,23.94036,23.715738333254116
2025-04-13 12:00:00,29.95,23.948584,23.694625643954332
2025-04-13 13:00:00,27.28,25.600756,23.71522249794933
2025-04-13 14:00:00,24.96,24.38906,23.695128444399078
2025-04-13 15:00:00,19.86,24.122608,23.71473156072846
2025-04-13 16:00:00,24.18,24.688347,23.695606995987358
2025-04-13 17:00:00,21.13,25.345402,23.714264319344572
2025-04-13 18:00:00,21.03,23.99302,23.696062467728126
2025-04-13 19:00:00,27.95,23.82093,23.71381962964837
2025-04-13 20:00:00,22.57,23.959631,23.696495972316676
2025-04-13 21:00:00,23.41,23.890186,23.713396402776386
2025-04-13 22:00:00,28.12,23.947758,23.69690856884329
2025-04-13 23:00:00,19.05,23.974556,23.712993602475773
2025-04-14 00:00:00,25.14,24.180899,23.697301265372108
